PartnerPolicy,Trial,Intentions_RT,Agency,Control,Game,Age,Education,Ethnicity,Religion,Sex,Persec,SocRef,ICARTot,ICARrt,Response,Type1,Type2,Option1_PPT,Option1_Partner,Option2_PPT,Option2_Partner,Diff1,Diff2,Choice,ChoiceAction,id
Competative,1,2550.895,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,1,Prosocial,Individual,8,8,10,5,0,5,Prosocial,1,1
Competative,2,9468.275,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,2,Individual,Prosocial,12,5,8,8,0,7,Prosocial,1,1
Competative,3,5580.885,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,1,Individual,Competative,10,6,8,2,6,4,Individual,2,1
Competative,4,3610.2,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,1,Individual,Competative,12,6,10,2,8,6,Individual,2,1
Competative,5,2334.675,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,2,Competative,Prosocial,9,5,9,9,0,4,Prosocial,1,1
Competative,6,2392.835,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,2,Individual,Prosocial,12,5,9,9,0,7,Prosocial,1,1
Competative,7,2069.25,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,1,Prosocial,Competative,8,8,8,2,0,6,Prosocial,1,1
Competative,8,1453.11,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,1,Prosocial,Competative,6,6,6,2,0,4,Prosocial,1,1
Competative,9,1764.82,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,1,Prosocial,Individual,6,6,10,5,0,5,Prosocial,1,1
Competative,10,2956.915,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,2,Competative,Individual,7,2,8,5,5,3,Individual,2,1
Competative,11,1452.76,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,2,Competative,Prosocial,10,5,10,10,0,5,Prosocial,1,1
Competative,12,1842.83,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,1,Prosocial,Competative,7,7,7,2,0,5,Prosocial,1,1
Competative,13,2079.67,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,2,Competative,Prosocial,8,5,8,8,0,3,Prosocial,1,1
Competative,14,2352.455,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,2,Competative,Individual,8,2,9,5,6,4,Individual,2,1
Competative,15,1810.71,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,2,Individual,Prosocial,12,5,10,10,0,7,Prosocial,1,1
Competative,16,2162.505,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,1,Individual,Competitive,11,6,9,2,7,5,Individual,2,1
Competative,17,2571.84,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,2,Competative,Individual,6,2,8,5,4,3,Individual,2,1
Competative,18,1751.775,3,0,Choose,57,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Spiritualist,Female,0,0,3,19427.39,1,Prosocial,Individual,7,7,10,5,0,5,Prosocial,1,1
Prosocial,1,2103.035,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,1,Individual,Competative,12,6,10,2,8,6,Individual,2,2
Prosocial,2,1542.47,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,1,Prosocial,Competative,8,8,8,2,0,6,Prosocial,1,2
Prosocial,3,1205.185,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,1,Individual,Prosocial,12,5,8,8,0,7,Individual,2,2
Prosocial,4,1685.56,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,1,Prosocial,Competative,6,6,6,2,0,4,Prosocial,1,2
Prosocial,5,2007.515,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,2,Individual,Competative,10,6,8,2,6,4,Competative,3,2
Prosocial,6,2311.16,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,1,Individual,Prosocial,12,5,9,9,0,7,Individual,2,2
Prosocial,7,1507.445,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,1,Competative,Prosocial,8,5,8,8,0,3,Competative,3,2
Prosocial,8,1070.34,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,1,Prosocial,Competative,7,7,7,2,0,5,Prosocial,1,2
Prosocial,9,1222.705,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,2,Competative,Individual,7,2,8,5,5,3,Individual,2,2
Prosocial,10,1326.44,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,1,Individual,Competitive,11,6,9,2,7,5,Individual,2,2
Prosocial,11,1767.235,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,2,Competative,Prosocial,9,5,9,9,0,4,Prosocial,1,2
Prosocial,12,1805.53,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,2,Prosocial,Individual,7,7,10,5,0,5,Individual,2,2
Prosocial,13,1380.755,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,2,Competative,Individual,6,2,8,5,4,3,Individual,2,2
Prosocial,14,1283,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,2,Prosocial,Individual,8,8,10,5,0,5,Individual,2,2
Prosocial,15,1028.795,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,2,Prosocial,Individual,6,6,10,5,0,5,Individual,2,2
Prosocial,16,1841.42,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,1,Individual,Prosocial,12,5,10,10,0,7,Individual,2,2
Prosocial,17,1436.88,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,2,Competative,Individual,8,2,9,5,6,4,Individual,2,2
Prosocial,18,1233.395,78,1,Choose,31,College/Sixth Form (A level or equivalent),"""White""",Atheist,Female,17,28,3,7887.37,2,Competative,Prosocial,10,5,10,10,0,5,Prosocial,1,2
Individualist,1,2312,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,1,Prosocial,Individual,8,8,10,5,0,5,Prosocial,1,3
Individualist,2,3832,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,2,Individual,Prosocial,12,5,8,8,0,7,Prosocial,1,3
Individualist,3,4840,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,1,Individual,Competitive,11,6,9,2,7,5,Individual,2,3
Individualist,4,3846,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,2,Prosocial,Individual,6,6,10,5,0,5,Individual,2,3
Individualist,5,2903,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,2,Competative,Prosocial,10,5,10,10,0,5,Prosocial,1,3
Individualist,6,7759,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,1,Individual,Competative,10,6,8,2,6,4,Individual,2,3
Individualist,7,3925,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,1,Individual,Prosocial,12,5,9,9,0,7,Individual,2,3
Individualist,8,3613,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,2,Competative,Individual,7,2,8,5,5,3,Individual,2,3
Individualist,9,4279,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,2,Competative,Individual,6,2,8,5,4,3,Individual,2,3
Individualist,10,3020,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,2,Prosocial,Competative,7,7,7,2,0,5,Competative,3,3
Individualist,11,4204,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,2,Prosocial,Individual,7,7,10,5,0,5,Individual,2,3
Individualist,12,2367,2,1,Choose,38,Undergraduate Degree (e.g. BSc; MBBS),English/Welsh/Scottish/Northern Irish/British,Atheist,Female,20,22,3,20691,1,Individual,Competative,12,6,10,2,8,6,Individual,2,3
