"","id","Trial","Option1_PPT","Option1_Partner","Option2_PPT","Option2_Partner","Response","Answer","GuessAction","Correct"
"1",1,1,8,8,10,5,1,NA,1,1
"2",1,2,12,5,8,8,2,NA,1,1
"3",1,3,10,6,8,2,1,NA,3,0
"4",1,4,12,6,10,2,1,NA,3,0
"5",1,5,9,5,9,9,2,NA,1,1
"6",1,6,12,5,9,9,2,NA,1,1
"7",1,7,8,8,8,2,1,NA,1,1
"8",1,8,6,6,6,2,1,NA,1,1
"9",1,9,6,6,10,5,1,NA,1,1
"10",1,10,7,2,8,5,2,NA,2,1
"11",1,11,10,5,10,10,2,NA,1,1
"12",1,12,7,7,7,2,1,NA,1,1
"13",1,13,8,5,8,8,2,NA,1,1
"14",1,14,8,2,9,5,2,NA,2,1
"15",1,15,12,5,10,10,2,NA,1,1
"16",1,16,11,6,9,2,1,NA,3,0
"17",1,17,6,2,8,5,2,NA,2,1
"18",1,18,7,7,10,5,1,NA,1,1
"19",1,19,7,7,7,2,1,"2",1,0
"20",1,20,8,8,12,5,1,"2",1,0
"21",1,21,7,7,10,5,2,"2",2,1
"22",1,22,6,2,6,6,1,"1",3,1
"23",1,23,8,6,7,2,1,"2",2,0
"24",1,24,10,5,10,10,1,"1",3,1
"25",1,25,8,2,8,8,1,"1",3,1
"26",1,26,11,6,9,2,2,"2",3,1
"27",1,27,12,5,9,9,1,"1",2,1
"28",1,28,8,5,8,8,1,"1",3,1
"29",1,29,9,9,9,5,2,"2",3,1
"30",1,30,6,2,8,6,1,"1",3,1
"31",1,31,9,9,12,5,2,"2",2,1
"32",1,32,10,2,12,6,1,"1",3,1
"33",1,33,10,5,8,8,1,"1",2,1
"34",1,34,10,5,6,6,1,"1",2,1
"35",1,35,10,5,7,7,1,"1",2,1
"36",1,36,12,5,8,8,1,"1",2,1
"37",1,37,12,5,10,10,1,"1",2,1
"38",1,38,7,2,7,7,1,"1",3,1
"39",1,39,8,8,10,5,2,"2",2,1
"40",1,40,10,10,10,5,2,"2",3,1
"41",1,41,8,6,6,2,2,"2",3,1
"42",1,42,8,8,8,5,2,"2",3,1
"43",1,43,8,8,8,2,2,"2",3,1
"44",1,44,9,6,8,2,2,"2",3,1
"45",1,45,8,2,10,6,1,"1",3,1
"46",1,46,9,5,9,9,1,"1",3,1
"47",1,47,6,6,10,5,2,"2",2,1
"48",1,48,10,6,8,2,2,"2",3,1
"49",1,49,8,2,9,6,1,"1",3,1
"50",1,50,12,6,10,2,2,"2",3,1
"51",1,51,7,2,8,6,1,"1",3,1
"52",1,52,6,6,6,2,2,"2",3,1
"53",1,53,10,10,12,5,2,"2",2,1
"54",1,54,9,2,11,6,1,"1",3,1
"55",2,1,12,6,10,2,1,NA,3,0
"56",2,2,8,8,8,2,1,NA,1,1
"57",2,3,12,5,8,8,1,NA,2,0
"58",2,4,6,6,6,2,1,NA,1,1
"59",2,5,10,6,8,2,2,NA,2,1
"60",2,6,12,5,9,9,1,NA,2,0
"61",2,7,8,5,8,8,1,NA,3,0
"62",2,8,7,7,7,2,1,NA,1,1
"63",2,9,7,2,8,5,2,NA,2,1
"64",2,10,11,6,9,2,1,NA,3,0
"65",2,11,9,5,9,9,2,NA,1,1
"66",2,12,7,7,10,5,2,NA,2,0
"67",2,13,6,2,8,5,2,NA,2,1
"68",2,14,8,8,10,5,2,NA,2,0
"69",2,15,6,6,10,5,2,NA,2,0
"70",2,16,12,5,10,10,1,NA,2,0
"71",2,17,8,2,9,5,2,NA,2,1
"72",2,18,10,5,10,10,2,NA,1,1
"73",2,19,12,5,8,8,2,"2",1,1
"74",2,20,12,5,10,10,2,"2",1,1
"75",2,21,8,6,6,2,1,"1",2,1
"76",2,22,7,7,7,2,1,"1",1,1
"77",2,23,7,2,8,6,2,"2",2,1
"78",2,24,10,5,8,8,2,"2",1,1
"79",2,25,6,6,6,2,1,"1",1,1
"80",2,26,12,5,9,9,2,"2",1,1
"81",2,27,9,5,9,9,2,"2",1,1
"82",2,28,6,6,10,5,2,"1",2,0
"83",2,29,10,5,7,7,2,"2",1,1
"84",2,30,10,2,12,6,2,"2",2,1
"85",2,31,8,5,8,8,2,"2",1,1
"86",2,32,8,2,9,6,2,"2",2,1
"87",2,33,10,6,8,2,1,"1",2,1
"88",2,34,8,6,7,2,1,"1",2,1
"89",2,35,12,6,10,2,1,"1",2,1
"90",2,36,9,6,8,2,1,"1",2,1
"91",2,37,7,2,7,7,2,"2",1,1
"92",2,38,8,8,8,5,1,"1",1,1
"93",2,39,10,10,10,5,1,"1",1,1
"94",2,40,9,9,12,5,1,"1",1,1
"95",2,41,7,7,10,5,1,"1",1,1
"96",2,42,10,5,6,6,2,"2",1,1
"97",2,43,8,8,10,5,1,"1",1,1
"98",2,44,10,5,10,10,2,"2",1,1
"99",2,45,11,6,9,2,1,"1",2,1
"100",2,46,9,2,11,6,2,"2",2,1
"101",2,47,8,8,8,2,1,"1",1,1
"102",2,48,6,2,8,6,2,"2",2,1
"103",2,49,9,9,9,5,1,"1",1,1
"104",2,50,10,10,12,5,1,"1",1,1
"105",2,51,8,2,8,8,2,"2",1,1
"106",2,52,8,2,10,6,2,"2",2,1
"107",2,53,6,2,6,6,2,"2",1,1
"108",2,54,8,8,12,5,1,"1",1,1
"109",3,1,8,8,10,5,1,NA,1,1
"110",3,2,12,5,8,8,2,NA,1,1
"111",3,3,11,6,9,2,1,NA,3,0
"112",3,4,6,6,10,5,2,NA,2,0
"113",3,5,10,5,10,10,2,NA,1,1
"114",3,6,10,6,8,2,1,NA,3,0
"115",3,7,12,5,9,9,1,NA,2,0
"116",3,8,7,2,8,5,2,NA,2,1
"117",3,9,6,2,8,5,2,NA,2,1
"118",3,10,7,7,7,2,2,NA,3,0
"119",3,11,7,7,10,5,2,NA,2,0
"120",3,12,12,6,10,2,1,NA,3,0
"121",3,13,6,6,6,2,1,NA,1,1
"122",3,14,8,2,9,5,2,NA,2,1
"123",3,15,8,5,8,8,1,NA,3,0
"124",3,16,9,5,9,9,1,NA,3,0
"125",3,17,12,5,10,10,1,NA,2,0
"126",3,18,8,8,8,2,1,NA,1,1
"127",3,19,9,9,9,5,2,"2",3,1
"128",3,20,12,5,9,9,1,"1",2,1
"129",3,21,10,5,8,8,1,"1",2,1
"130",3,22,10,6,8,2,1,"1",2,1
"131",3,23,6,6,10,5,2,"2",2,1
"132",3,24,6,6,6,2,2,"1",3,0
"133",3,25,8,2,9,6,2,"2",2,1
"134",3,26,9,5,9,9,2,"1",1,0
"135",3,27,7,2,8,6,2,"2",2,1
"136",3,28,9,2,11,6,2,"2",2,1
"137",3,29,10,5,6,6,2,"1",1,0
"138",3,30,10,2,12,6,2,"2",2,1
"139",3,31,8,8,8,5,2,"1",3,0
"140",3,32,10,10,10,5,2,"1",3,0
"141",3,33,7,2,7,7,1,"2",3,0
"142",3,34,8,6,6,2,1,"1",2,1
"143",3,35,8,8,10,5,2,"2",2,1
"144",3,36,8,8,8,2,1,"1",1,1
"145",3,37,7,7,7,2,1,"2",1,0
"146",3,38,6,2,6,6,1,"1",3,1
"147",3,39,9,6,8,2,1,"1",2,1
"148",3,40,10,5,7,7,1,"1",2,1
"149",3,41,8,2,10,6,2,"2",2,1
"150",3,42,6,2,8,6,2,"2",2,1
"151",3,43,8,2,8,8,1,"1",3,1
"152",3,44,10,10,12,5,2,"2",2,1
"153",3,45,11,6,9,2,1,"1",2,1
"154",3,46,8,8,12,5,2,"2",2,1
"155",3,47,12,5,8,8,1,"1",2,1
"156",3,48,10,5,10,10,1,"2",3,0
"157",3,49,8,5,8,8,1,"2",3,0
"158",3,50,9,9,12,5,2,"2",2,1
"159",3,51,8,6,7,2,1,"1",2,1
"160",3,52,12,5,10,10,1,"1",2,1
"161",3,53,12,6,10,2,1,"1",2,1
"162",3,54,7,7,10,5,2,"2",2,1
"163",4,1,6,6,10,5,1,NA,1,1
"164",4,2,12,6,10,2,1,NA,3,0
"165",4,3,10,5,10,10,2,NA,1,1
"166",4,4,6,2,8,5,2,NA,2,1
"167",4,5,12,5,10,10,2,NA,1,1
"168",4,6,8,8,8,2,1,NA,1,1
"169",4,7,6,6,6,2,1,NA,1,1
"170",4,8,8,8,10,5,1,NA,1,1
"171",4,9,8,2,9,5,2,NA,2,1
"172",4,10,12,5,8,8,2,NA,1,1
"173",4,11,11,6,9,2,1,NA,3,0
"174",4,12,8,5,8,8,2,NA,1,1
"175",4,13,12,5,9,9,2,NA,1,1
"176",4,14,7,7,10,5,1,NA,1,1
"177",4,15,7,7,7,2,1,NA,1,1
"178",4,16,10,6,8,2,1,NA,3,0
"179",4,17,9,5,9,9,2,NA,1,1
"180",4,18,7,2,8,5,2,NA,2,1
"181",4,19,6,2,6,6,2,"1",1,0
"182",4,20,10,2,12,6,2,"1",2,0
"183",4,21,10,5,7,7,1,"1",2,1
"184",4,22,12,5,9,9,1,"1",2,1
"185",4,23,9,5,9,9,1,"1",3,1
"186",4,24,8,6,6,2,1,"2",2,0
"187",4,25,9,9,9,5,2,"2",3,1
"188",4,26,8,2,8,8,2,"1",1,0
"189",4,27,8,8,8,2,2,"2",3,1
"190",4,28,6,2,8,6,1,"1",3,1
"191",4,29,7,7,7,2,2,"2",3,1
"192",4,30,12,5,8,8,1,"1",2,1
"193",4,31,12,6,10,2,1,"2",2,0
"194",4,32,10,5,8,8,1,"1",2,1
"195",4,33,7,7,10,5,2,"2",2,1
"196",4,34,8,8,8,5,2,"2",3,1
"197",4,35,8,6,7,2,2,"2",3,1
"198",4,36,7,2,8,6,1,"1",3,1
"199",4,37,9,9,12,5,2,"2",2,1
"200",4,38,9,6,8,2,2,"2",3,1
"201",4,39,10,6,8,2,1,"2",2,0
"202",4,40,8,2,10,6,1,"1",3,1
"203",4,41,8,5,8,8,1,"1",3,1
"204",4,42,10,5,10,10,1,"1",3,1
"205",4,43,8,2,9,6,1,"1",3,1
"206",4,44,10,10,10,5,2,"2",3,1
"207",4,45,10,10,12,5,2,"2",2,1
"208",4,46,9,2,11,6,1,"1",3,1
"209",4,47,10,5,6,6,1,"1",2,1
"210",4,48,6,6,6,2,2,"2",3,1
"211",4,49,8,8,10,5,2,"2",2,1
"212",4,50,11,6,9,2,2,"2",3,1
"213",4,51,12,5,10,10,1,"1",2,1
"214",4,52,8,8,12,5,2,"2",2,1
"215",4,53,6,6,10,5,2,"2",2,1
